term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
year,-0.053656064999109555,0.007769112154987246,-0.02878947352014494,-0.03178593362306816,0.005842871129240983,-0.001034956693584325,-0.008955590330203607,0.0011833371823402996,0.01665640511185262,0.00695975931402156
use,-0.04235574949630194,0.003950406839817844,-0.004963310600787502,-0.027388008882604634,0.006797976434846156,0.003436229283808301,-0.02566859395917397,0.019252088520819246,0.02293204648345435,-0.025466779883817924
cause,-0.03327047644698494,0.01241832318761675,0.0020547234795388336,0.03208373509780746,0.020771388115637945,0.0011205488581936133,-0.018980853246527624,-0.03336674502026897,-0.0007557122128168253,0.012550735495139138
morning,-0.04928309722131909,0.01183616159508366,0.0010564573333013971,-0.034885849100616984,0.05696105899176856,-0.030138512678318366,0.04461308557610259,-0.034747048833704455,0.012475764639582866,0.023852175162067057
hope,-0.033962139641387654,-0.0018585980091765375,0.01586112871718469,-0.002018148545843118,0.0007440462074681797,-0.013197783706713446,-0.0011635449598358522,0.00140073858543531,-0.01228022480512192,0.0010386605184319608
return,-0.04448720776803042,-0.007500068732421816,-0.004626207785665526,-0.007941501438849086,0.0325203701932573,0.006219727638008061,-0.008879968797189886,0.013252652718220494,-0.009548403104679554,-0.012405445596236776
words,-0.03898372888340651,0.0027600538988942214,0.014251684711202528,-0.034586975138353904,0.020473615291198205,0.018979768559578294,0.02843641402936653,-0.028230013107120158,0.005341443742888752,0.007435664253705565
oh,-0.03533760547154869,0.01687633567082296,0.04893292854061487,-0.03917377229713326,0.0004186188346710362,0.041294227561037684,0.030919683248797153,-0.017947615044468415,-0.004510656093713483,0.015777287029819072
sense,-0.037288446910479,0.013376054071256478,0.0055738162428412424,-0.043036305431505884,0.038337202580614016,0.01784499687572556,0.027357067498575416,-0.026664578052795228,-0.014352196133752826,0.006371960033230789
word,-0.03885264912945833,0.01865350545733442,0.00403003789095973,0.00303106277219993,-0.012205549093648238,0.030748293682964667,0.015353176749541286,-0.0254236415137467,0.02036522710348118,0.004432234414281876
